time	volume
231.000000	233.942061
231.100006	233.927409
231.199997	233.758190
231.300003	233.466261
231.399994	233.092091
231.500000	232.664882
231.600006	232.205500
231.699997	231.736507
231.800003	231.282797
231.899994	230.875420
232.000000	230.535787
232.100006	230.222664
232.199997	229.851836
232.300003	229.384208
232.399994	228.886910
232.500000	228.368131
232.600006	227.867703
232.699997	227.408179
232.800003	226.989809
232.899994	226.607548
233.000000	226.252698
233.100006	225.913290
233.199997	225.582908
233.300003	225.255064
233.399994	224.922932
233.500000	224.597899
233.600006	224.274639
233.699997	223.964203
233.800003	223.671992
233.899994	223.403091
234.000000	223.158070
234.100006	222.938126
234.199997	222.743941
234.300003	222.572579
234.399994	222.423373
234.500000	222.299429
234.600006	222.201802
234.699997	222.131150
234.800003	222.088543
234.899994	222.075425
235.000000	222.093884
235.100006	222.146697
235.199997	222.237006
235.300003	222.367893
235.399994	222.542996
235.500000	222.762945
235.600006	223.026083
235.699997	223.328137
235.800003	223.663227
235.899994	224.024734
236.000000	224.406221
236.100006	224.802178
236.199997	225.208576
236.300003	225.622860
236.399994	226.043886
236.500000	226.471664
236.600006	226.906827
236.699997	227.350615
236.800003	227.804397
236.899994	228.269651
237.000000	228.747947
237.100006	229.239949
237.199997	229.745822
237.300003	230.264894
237.399994	230.796752
237.500000	231.341003
237.600006	231.889375
237.699997	232.415002
237.800003	232.894003
237.899994	233.329073
238.000000	233.685731
238.100006	233.903856
238.199997	233.955729
