time,volume,v_rel
0.0,239.93149662017822,0.0
0.100000001490116,239.93139827251434,-4.098989305896886e-07
0.200000002980232,239.93132746219635,-7.050261606142643e-07
0.300000011920929,239.93124252557755,-1.0590297824871771e-06
0.400000005960464,239.9311471581459,-1.4565075333620268e-06
0.5,239.93104815483093,-1.8691391234889798e-06
0.600000023841858,239.93090403079987,-2.4698273744985962e-06
0.699999988079071,239.93069767951965,-3.329869857954052e-06
0.800000011920929,239.93036872148514,-4.700919674877986e-06
0.899999976158142,239.9298597574234,-6.822208746578199e-06
1.0,239.92903316020966,-1.0267347152285957e-05
1.10000002384186,239.9274798631668,-1.6741266019660067e-05
1.20000004768372,239.92426300048828,-3.0148687403857336e-05
1.29999995231628,239.9166703224182,-6.179387853975848e-05
1.39999997615814,239.89530438184738,-0.00015084404857497688
1.5,239.82385236024857,-0.0004486458070157518
1.60000002384186,239.55937671661377,-0.0015509422848036278
1.70000004768372,238.64386451244354,-0.005366665593609232
1.79999995231628,236.31059050559998,-0.015091416365023121
1.89999997615814,232.43931943178177,-0.031226317902967485
2.0,227.79626017808914,-0.05057792166944916
2.09999990463257,223.12238365411758,-0.07005796739004291
2.20000004768372,218.8258571624756,-0.08796527240070429
2.29999995231628,215.0927370786667,-0.1035243804644471
2.40000009536743,211.99273163080215,-0.11644475770350536
2.5,209.53502410650253,-0.12668812949470573
2.59999990463257,207.694719851017,-0.13435825318171302
2.70000004768372,206.4080559015274,-0.1397208836308801
2.79999995231628,205.4097575545311,-0.14388164768669995
2.90000009536743,204.59746748209,-0.14726715598337428
3.0,203.93209838867188,-0.15004031875187662
3.09999990463257,203.42993891239166,-0.15213324728920471
3.20000004768372,203.1201484799385,-0.1534244092950983
3.29999995231628,203.02087098360062,-0.153838183633759
3.40000009536743,203.13992869853973,-0.15334196818636575
3.5,203.47112703323364,-0.15196158112022656
3.59999990463257,204.02117013931274,-0.14966908049472577
3.70000004768372,204.76405507326126,-0.14657284284184047
3.79999995231628,205.70069682598114,-0.14266905461097462
3.90000009536743,206.80782610177994,-0.13805469888280014
4.0,208.07303309440613,-0.1327814979464968
4.09999990463257,209.47790509462357,-0.12692619332827315
4.19999980926514,211.0093658566475,-0.12054328494151685
